study_id,kikm_uri,variable,variable_label,type
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,SANITATN,Type sanitary facility,subject-level
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,TV,Television,subject-level
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,WALL,Type walls in house,subject-level
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,WRITE,Caregiver write,subject-level
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,FSTR_SCR,Factor score family structure,subject-level
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,HOUS_SCR,Factor score housing quality,subject-level
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,NPERSON,Number of persons in house,subject-level
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,NROOMS,Number rooms in house,subject-level
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,POS_SCR,Factor score possessions,subject-level
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,CA,Calcium,time-varying
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,CARB,Total Carbohydrates,time-varying
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,CU,Copper,time-varying
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,ENERGY,Total Energy,time-varying
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,FA182,Fatty Acid 18-2,time-varying
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,FA182N6C,"Fatty Acid 18-2 n-6 c,c",time-varying
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,FA183,Fatty Acid 18-3,time-varying
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,FA183N3C,"Fatty acid 18-3 n-3 c,c,c",time-varying
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,FA183N6C,"Fatty acid 18-3 n-6 c,c,c",time-varying
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,FA184,Fatty acid 18-4,time-varying
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,FAT,Total Fat,time-varying
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,FE,Iron,time-varying
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,FMUSAT,Monounsaturated Fat,time-varying
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,FPUSAT,Polyunsaturated Fat,time-varying
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,FSAT,Saturated Fat,time-varying
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,PHYTA,Phytate,time-varying
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,PROT,Total Protein,time-varying
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,VITA,Vitamin A,time-varying
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,VITB1,Thiamin,time-varying
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,VITB12,Vitamin B12,time-varying
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,VITB2,Riboflavin,time-varying
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,VITB3,Niacin,time-varying
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,VITB6,Vitamin B6,time-varying
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,VITB9,Folate,time-varying
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,VITC,Vitamin C,time-varying
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,ZN,Zinc,time-varying
Burkina Faso Zn,http://debategraph.org/Details.aspx?nid=420690,STUDYID,Study ID,time-varying
Burkina Faso Zn,http://debategraph.org/Details.aspx?nid=420690,SUBJID,Subject ID,subject id
Burkina Faso Zn,http://debategraph.org/Details.aspx?nid=420690,SITEID,Investigational Site ID,time-varying
Burkina Faso Zn,http://debategraph.org/Details.aspx?nid=420690,SEXN,Sex (numeric),subject-level
Burkina Faso Zn,http://debategraph.org/Details.aspx?nid=420690,SEX,Sex,subject-level
Burkina Faso Zn,http://debategraph.org/Details.aspx?nid=420690,ARMCD,Treatment Arm Code,subject-level
Burkina Faso Zn,http://debategraph.org/Details.aspx?nid=420690,ARM,Treatment Arm,subject-level
Burkina Faso Zn,http://debategraph.org/Details.aspx?nid=420690,SUMEP,Number of diarrheal episodes,subject-level
Burkina Faso Zn,http://debategraph.org/Details.aspx?nid=420690,SUMDIAR,Number of diarrheal days,subject-level
Burkina Faso Zn,http://debategraph.org/Details.aspx?nid=420690,SUMDAYS,Number of days monitored,subject-level
Burkina Faso Zn,http://debategraph.org/Details.aspx?nid=420690,PCTDIAR,Percent of days with diarrhea,subject-level
Burkina Faso Zn,http://debategraph.org/Details.aspx?nid=420690,MAGE,Maternal age at birth of child (yrs),subject-level
Burkina Faso Zn,http://debategraph.org/Details.aspx?nid=420690,MHTCM,Maternal height (cm),subject-level
Burkina Faso Zn,http://debategraph.org/Details.aspx?nid=420690,MBMI,Maternal BMI (kg/m**2),subject-level
Burkina Faso Zn,http://debategraph.org/Details.aspx?nid=420690,MPREG,Mother pregnant during study?,subject-level
Burkina Faso Zn,http://debategraph.org/Details.aspx?nid=420690,MEDUCYRS,"Mother, years of education",subject-level
Burkina Faso Zn,http://debategraph.org/Details.aspx?nid=420690,MWORK,Mother type or work,subject-level
Burkina Faso Zn,http://debategraph.org/Details.aspx?nid=420690,SESN,Socioeconomic status of parent (num),subject-level
Burkina Faso Zn,http://debategraph.org/Details.aspx?nid=420690,SES,Socioeconomic status of parent,subject-level
Burkina Faso Zn,http://debategraph.org/Details.aspx?nid=420690,PARITY,Maternal parity,subject-level
Burkina Faso Zn,http://debategraph.org/Details.aspx?nid=420690,NDCHILD,Maternal num of deceased children,subject-level
Burkina Faso Zn,http://debategraph.org/Details.aspx?nid=420690,CTRYCD,Country of investigative site (code),subject-level
Burkina Faso Zn,http://debategraph.org/Details.aspx?nid=420690,COUNTRY,Country of investigative site,subject-level
Burkina Faso Zn,http://debategraph.org/Details.aspx?nid=420690,H2OSRCP,Source drinking water,subject-level
Burkina Faso Zn,http://debategraph.org/Details.aspx?nid=420690,LVSTOCK,Livestock ownership,subject-level
Burkina Faso Zn,http://debategraph.org/Details.aspx?nid=420690,NCHLDLT5,Number of children <5 in house,subject-level
Burkina Faso Zn,http://debategraph.org/Details.aspx?nid=420690,NPERSON,Number of persons in house,subject-level
Burkina Faso Zn,http://debategraph.org/Details.aspx?nid=420690,SANITATN,Type sanitary facility,subject-level
Burkina Faso Zn,http://debategraph.org/Details.aspx?nid=420690,VLGINFR,Village Infrastructure Index,subject-level
Burkina Faso Zn,http://debategraph.org/Details.aspx?nid=420690,AGEDAYS,Age since birth at examination (days),time indicator
Burkina Faso Zn,http://debategraph.org/Details.aspx?nid=420690,WTKG,Weight (kg),time-varying
Burkina Faso Zn,http://debategraph.org/Details.aspx?nid=420690,LENCM,Recumbent length (cm),time-varying
Burkina Faso Zn,http://debategraph.org/Details.aspx?nid=420690,BMI,BMI (kg/m**2),time-varying
Burkina Faso Zn,http://debategraph.org/Details.aspx?nid=420690,MUACCM,Mid upper-arm circmuference (cm),time-varying
Burkina Faso Zn,http://debategraph.org/Details.aspx?nid=420690,WAZ,Weight for age z-score,time-varying
Burkina Faso Zn,http://debategraph.org/Details.aspx?nid=420690,HAZ,Length/height for age z-score,time-varying
Burkina Faso Zn,http://debategraph.org/Details.aspx?nid=420690,WHZ,Weight for length/height z-score,time-varying
Burkina Faso Zn,http://debategraph.org/Details.aspx?nid=420690,BAZ,BMI for age z-score,time-varying
Burkina Faso Zn,http://debategraph.org/Details.aspx?nid=420690,MUAZ,MUAC for age z-score,time-varying
Burkina Faso Zn,http://debategraph.org/Details.aspx?nid=420690,DIARFL,Child had diarrhea on this day,time-varying
Burkina Faso Zn,http://debategraph.org/Details.aspx?nid=420690,BLDSTLFL,Child had bloody stools on this day,time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,STUDYID,Study ID,subject-level
CANDLE,http://debategraph.org/Details.aspx?nid=420688,SUBJID,Subject ID,subject id
CANDLE,http://debategraph.org/Details.aspx?nid=420688,SITEID,Investigational Site ID,subject-level
CANDLE,http://debategraph.org/Details.aspx?nid=420688,SEXN,Sex (numeric),subject-level
CANDLE,http://debategraph.org/Details.aspx?nid=420688,SEX,Sex,subject-level
CANDLE,http://debategraph.org/Details.aspx?nid=420688,RACEN,Race (num),subject-level
CANDLE,http://debategraph.org/Details.aspx?nid=420688,RACE,Race,subject-level
CANDLE,http://debategraph.org/Details.aspx?nid=420688,GAGEBRTH,Gestational age at birth (days),subject-level
CANDLE,http://debategraph.org/Details.aspx?nid=420688,BIRTHWT,Birth weight (gm),subject-level
CANDLE,http://debategraph.org/Details.aspx?nid=420688,BIRTHLEN,Birth length (cm),subject-level
CANDLE,http://debategraph.org/Details.aspx?nid=420688,BIRTHHC,Birth head circumference (cm),subject-level
CANDLE,http://debategraph.org/Details.aspx?nid=420688,APGAR1,APGAR Score 1 min after birth,subject-level
CANDLE,http://debategraph.org/Details.aspx?nid=420688,APGAR5,APGAR Score 5 min after birth,subject-level
CANDLE,http://debategraph.org/Details.aspx?nid=420688,AGEDTH,Age on day of death (days),subject-level
CANDLE,http://debategraph.org/Details.aspx?nid=420688,CAUSEDTH,Cause of death,subject-level
CANDLE,http://debategraph.org/Details.aspx?nid=420688,CTRYCD,Country of investigative site (code),subject-level
CANDLE,http://debategraph.org/Details.aspx?nid=420688,COUNTRY,Country of investigative site,subject-level
CANDLE,http://debategraph.org/Details.aspx?nid=420688,REGCTRY,Region within country,subject-level
CANDLE,http://debategraph.org/Details.aspx?nid=420688,REGCTYP,Type of subdivision,subject-level
CANDLE,http://debategraph.org/Details.aspx?nid=420688,CITYTOWN,"City, town or village",subject-level
CANDLE,http://debategraph.org/Details.aspx?nid=420688,LATITUDE,Latitude  (degrees),subject-level
CANDLE,http://debategraph.org/Details.aspx?nid=420688,LONGITUD,Longitude (degrees),subject-level
CANDLE,http://debategraph.org/Details.aspx?nid=420688,AGEDAYS,Age since birth at examination (days),time indicator
CANDLE,http://debategraph.org/Details.aspx?nid=420688,BALYCOGR,Child Bayley Cognitive Raw - Raw Score,time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,BALYCRCT,Child Bayley Cognitive Risk Category,time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,BALYDD,Child Bayley Developmental Disability,time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,BALYECMR,Child Bayley Expressive Comm - Raw Score,time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,BALYECRC,Child Bayley Expressive Comm Risk Category,time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,BALYRCMR,Child Bayley Receptive Comm - Raw Score,time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,BALYRCRC,Child Bayley Receptive Comm Risk Category,time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,MO_WASIBR,Mother WASI Block Design Score - Raw,time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,MO_WASIBT,Mother WASI Block Design - T-score,time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,MO_WASIFIQ,Mother WASI Full IQ,time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,MO_WASIFIQP,Mother WASI Full IQ Percentile,time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,MO_WASIMR,Mother WASI Matrix Reasoning Score - Raw,time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,MO_WASIMT,Mother WASI Matrix Reasoning - T-score,time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,MO_WASIPIQ,Mother WASI Performance IQ,time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,MO_WASIPIQP,Mother WASI Performance IQ Percentile,time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,MO_WASISR,Mother WASI Similarities Score - Raw,time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,MO_WASIST,Mother WASI Similarities - T-score,time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,MO_WASIVIQ,Mother WASI Verbal IQ,time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,MO_WASIVIQP,Mother WASI Verbal IQ Percentile,time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,MO_WASIVR,Mother WASI Vocabulary Score - Raw,time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,MO_WASIVT,Mother WASI Vocabulary - T-score,time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,EDUCCRGV,Highest education of caregiver,subject-level
CANDLE,http://debategraph.org/Details.aspx?nid=420688,EDUCCRGV_N,Highest education of caregiver - Numeric,subject-level
CANDLE,http://debategraph.org/Details.aspx?nid=420688,INCTOT,Total family income (dollars/yr),subject-level
CANDLE,http://debategraph.org/Details.aspx?nid=420688,INCTOT_N,Total family income (dollars/yr) - Numeric,subject-level
CANDLE,http://debategraph.org/Details.aspx?nid=420688,MO_BETAINE,Mother Betaine(mg),time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,MO_CA,Mother Calcium(mg),time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,MO_CARB,Mother Total Carbohydrates(% kcal) alc beverages not in denom,time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,MO_CARB_2,Mother Total Carbohydrates(g),time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,MO_CA_2,Mother Calcium(mg) from supplements,time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,MO_CHOL,Mother Cholesterol(mg),time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,MO_CHOLIFR,"Mother Choline, free(mg)",time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,MO_CHOLINE,Mother Choline(mg) Total,time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,MO_CRYPTX_B,Mother Beta Cryptoxanthin(µg),time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,MO_CTENE_A,Mother Alpha Carotene(µg),time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,MO_CTENE_B,Mother Beta Carotene(µg),time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,MO_CTENE_B_2,Mother Beta Carotene(µg) from supplements,time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,MO_CU,Mother Copper(mg),time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,MO_CU_2,Mother Copper(mg) from supplements,time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,MO_CYSTEIN,Mother Cysteine(mg) S-containing,time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,MO_CYSTINE,Mother Cystine(mg),time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,MO_ENERGY,Mother Total Energy(% kcal) from alcoholic beverages,time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,MO_ENERGY_2,Mother Total Energy(% kcal) from carbohuydrate,time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,MO_ENERGY_3,Mother Total Energy(% kcal) from fat,time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,MO_ENERGY_4,Mother Total Energy(% kcal) from protein,time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,MO_ENERGY_5,"Mother Total Energy(% kcal) from sweets, desserts",time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,MO_ENERGY_6,Mother Total Energy(kcal),time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,MO_FAT,Mother Total Fat(% kcal) alcoholic beverages not in denominator,time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,MO_FAT_2,Mother Total Fat(g),time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,MO_FE,Mother Iron(mg),time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,MO_FE_2,Mother Iron(mg) from supplements,time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,MO_FIBERD,"Mother Fiber, Dietary(g)",time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,MO_FIBERD_2,"Mother Fiber, Dietary(g) from beans",time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,MO_FIBERD_3,"Mother Fiber, Dietary(g) from grains",time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,MO_FIBERD_4,"Mother Fiber, Dietary(g) from vegetables, fruits",time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,MO_FMUSAT,Mother Monounsaturated Fat(g),time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,MO_FOLACID,Mother Folic Acid(µg),time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,MO_FOLACID_2,Mother Folic Acid(µg) from supplements,time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,MO_FOLEQ,Mother Folate Equivalents(µg) Average daily Dietary,time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,MO_FPUSAT,Mother Polyunsaturated Fat(g),time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,MO_FSAT,Mother Saturated Fat(g),time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,MO_FTRANS,Mother Trans Fat(g) Total,time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,MO_GLPHCHOL,Mother Glycerophosphocholine(mg),time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,MO_GLUTHNE,Mother Glutathione(mg) reduced,time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,MO_GLUTHNE_2,Mother Glutathione(mg) Total,time-varying
CANDLE,http://debategraph.org/Details.aspx?nid=420688,MO_GLYINDX,Mother Glycemic Index() Average Daily,time-varying
